lat,long,type
37.75392,-122.47653,bus_stop
37.7162,-122.47167,bus_stop
37.73279,-122.4751,bus_stop
37.73212,-122.4748,bus_stop
37.75272,-122.47619,bus_stop
37.75206,-122.4764,bus_stop
37.7504,-122.47603,bus_stop
37.7502,-122.47627,bus_stop
37.74853,-122.4759,bus_stop
37.7483,-122.47614,bus_stop
37.714282,-122.469618,bus_stop
37.714443,-122.469998,bus_stop
37.74667,-122.47577,bus_stop
37.74647,-122.47601,bus_stop
37.734556,-122.475203,bus_stop
37.734717,-122.474974,bus_stop
37.74524,-122.47567,bus_stop
37.74507,-122.4759,bus_stop
37.74331,-122.47554,bus_stop
37.74318,-122.47578,bus_stop
37.74149,-122.47543,bus_stop
37.74129,-122.47568,bus_stop
37.7392,-122.47528,bus_stop
37.73901,-122.47553,bus_stop
37.73757,-122.47542,bus_stop
37.73734,-122.47515,bus_stop
37.72719,-122.47468,bus_stop
37.727017,-122.474937,bus_stop
37.73042,-122.47588,bus_stop
37.729997,-122.476049,bus_stop
37.72887,-122.47568,bus_stop
37.726874,-122.475945,bus_stop
37.72634,-122.47613,bus_stop
37.760545,-122.388753,bus_stop
37.760465,-122.388386,bus_stop
37.75996,-122.39808,bus_stop
37.75987,-122.39836,bus_stop
37.757677,-122.435966,bus_stop
37.757561,-122.437845,bus_stop
37.75968,-122.40291,bus_stop
37.75956,-122.40314,bus_stop
37.760085,-122.396443,bus_stop
37.75999,-122.39643,bus_stop
37.75962,-122.40223,bus_stop
37.76004,-122.39545,bus_stop
37.75962,-122.40388,bus_stop
37.75536,-122.43901,bus_stop
37.763679,-122.480268,bus_stop
37.761457,-122.480106,bus_stop
37.759592,-122.47998,bus_stop
37.757754,-122.479853,bus_stop
37.765186,-122.480372,bus_stop
37.755898,-122.479714,bus_stop
37.754337,-122.479611,bus_stop
37.75801,-122.38809,bus_stop
37.75789,-122.38851,bus_stop
37.7573,-122.39975,bus_stop
37.757771,-122.3918,bus_stop
37.75787,-122.39008,bus_stop
37.75779,-122.39,bus_stop
37.75764,-122.39397,bus_stop
37.757585,-122.393052,bus_stop
37.75727,-122.39907,bus_stop
37.763134,-122.481482,bus_stop
37.761608,-122.481378,bus_stop
37.759735,-122.48124,bus_stop
37.75787,-122.481113,bus_stop
37.765026,-122.481609,bus_stop
37.756014,-122.480986,bus_stop
37.75414,-122.48086,bus_stop
37.752698,-122.436539,bus_stop
37.75277,-122.437387,bus_stop
37.754448,-122.402668,bus_stop
37.75451,-122.401694,bus_stop
37.75442,-122.40494,bus_stop
37.754298,-122.405304,bus_stop
37.75448,-122.40391,bus_stop
37.754395,-122.403631,bus_stop
37.75481,-122.39856,bus_stop
37.752853,-122.409281,bus_stop
37.752755,-122.408971,bus_stop
37.751778,-122.427327,bus_stop
37.751644,-122.427545,bus_stop
37.75136,-122.434248,bus_stop
37.751262,-122.433939,bus_stop
37.751226,-122.436184,bus_stop
37.751092,-122.436402,bus_stop
37.751903,-122.425311,bus_stop
37.751787,-122.425265,bus_stop
37.751102,-122.438361,bus_stop
37.75256,-122.414242,bus_stop
37.752462,-122.413933,bus_stop
37.752045,-122.422767,bus_stop
37.751911,-122.422985,bus_stop
37.752694,-122.412054,bus_stop
37.752587,-122.411744,bus_stop
37.750977,-122.440504,bus_stop
37.752321,-122.418333,bus_stop
37.752178,-122.41855,bus_stop
37.751511,-122.431773,bus_stop
37.75299,-122.40669,bus_stop
37.751645,-122.42955,bus_stop
37.751511,-122.429768,bus_stop
37.752445,-122.416156,bus_stop
37.752311,-122.416373,bus_stop
37.752178,-122.420556,bus_stop
37.752062,-122.42051,bus_stop
37.778284,-122.484687,bus_stop
37.778052,-122.484492,bus_stop
37.776419,-122.48456,bus_stop
37.776187,-122.484365,bus_stop
37.784003,-122.485102,bus_stop
37.783807,-122.48485,bus_stop
37.774554,-122.484422,bus_stop
37.774322,-122.484227,bus_stop
37.782147,-122.484975,bus_stop
37.781951,-122.484712,bus_stop
37.787536,-122.485139,bus_stop
37.787367,-122.485356,bus_stop
37.772689,-122.484295,bus_stop
37.780255,-122.484837,bus_stop
37.779925,-122.484619,bus_stop
37.785868,-122.485241,bus_stop
37.785689,-122.485034,bus_stop
37.75236,-122.39634,bus_stop
37.752242,-122.39662,bus_stop
37.7525,-122.394832,bus_stop
37.74931,-122.44092,bus_stop
37.75067,-122.41849,bus_stop
37.74978,-122.431762,bus_stop
37.751407,-122.40668,bus_stop
37.75224,-122.39831,bus_stop
37.752162,-122.398293,bus_stop
37.74815,-122.43363,bus_stop
37.74807,-122.43352,bus_stop
37.75086,-122.40015,bus_stop
37.750753,-122.400024,bus_stop
37.749232,-122.413877,bus_stop
37.749001,-122.417818,bus_stop
37.74827,-122.43177,bus_stop
37.748174,-122.431636,bus_stop
37.750718,-122.401124,bus_stop
37.749108,-122.416065,bus_stop
37.75111,-122.39866,bus_stop
37.73896,-122.48611,bus_stop
37.74799,-122.4878,bus_stop
37.74808,-122.487926,bus_stop
37.74636,-122.4878,bus_stop
37.74616,-122.48767,bus_stop
37.74451,-122.48765,bus_stop
37.74427,-122.48756,bus_stop
37.742646,-122.487545,bus_stop
37.74241,-122.48743,bus_stop
37.74077,-122.48739,bus_stop
37.742159,-122.426369,bus_stop
37.74204,-122.42676,bus_stop
37.742304,-122.424026,bus_stop
37.74217,-122.424457,bus_stop
37.742435,-122.421877,bus_stop
37.742435,-122.42206,bus_stop
37.74231,-122.42217,bus_stop
37.74188,-122.43079,bus_stop
37.74202,-122.4286,bus_stop
37.74191,-122.42902,bus_stop
37.77668,-122.49195,bus_stop
37.783419,-122.492442,bus_stop
37.783429,-122.492553,bus_stop
37.781995,-122.492335,bus_stop
37.781802,-122.492425,bus_stop
37.779939,-122.492296,bus_stop
37.777861,-122.493249,bus_stop
37.777692,-122.493077,bus_stop
37.776032,-122.492973,bus_stop
37.775997,-122.493133,bus_stop
37.781537,-122.493354,bus_stop
37.781502,-122.493515,bus_stop
37.779815,-122.493227,bus_stop
37.779815,-122.493388,bus_stop
37.779548,-122.493215,bus_stop
37.779566,-122.493376,bus_stop
37.764557,-122.495372,bus_stop
37.76436,-122.496621,bus_stop
37.747621,-122.497424,bus_stop
37.745962,-122.497308,bus_stop
37.74596,-122.49747,bus_stop
37.781087,-122.502994,bus_stop
37.781007,-122.504232,bus_stop
37.779784,-122.504139,bus_stop
37.775242,-122.505798,bus_stop
37.775206,-122.505958,bus_stop
37.773573,-122.50567,bus_stop
37.773538,-122.505831,bus_stop
37.762375,-122.506143,bus_stop
37.762206,-122.505971,bus_stop
37.760519,-122.506015,bus_stop
37.76035,-122.505843,bus_stop
37.758655,-122.505888,bus_stop
37.758485,-122.505716,bus_stop
37.756781,-122.505749,bus_stop
37.756612,-122.505577,bus_stop
37.764035,-122.50611,bus_stop
37.764053,-122.50627,bus_stop
37.754925,-122.505621,bus_stop
37.754756,-122.505449,bus_stop
37.752829,-122.505322,bus_stop
37.752837,-122.505482,bus_stop
37.751187,-122.505366,bus_stop
37.751017,-122.505194,bus_stop
37.749331,-122.505239,bus_stop
37.749161,-122.505067,bus_stop
37.747457,-122.5051,bus_stop
37.747288,-122.504928,bus_stop
37.745592,-122.504973,bus_stop
37.745423,-122.504801,bus_stop
37.743737,-122.504834,bus_stop
37.743567,-122.504662,bus_stop
37.741854,-122.504706,bus_stop
37.741685,-122.504534,bus_stop
37.739998,-122.504579,bus_stop
37.739829,-122.504407,bus_stop
37.738142,-122.50444,bus_stop
37.737973,-122.504268,bus_stop
37.736108,-122.504141,bus_stop
37.752783,-122.506364,bus_stop
37.736018,-122.505366,bus_stop
37.77991,-122.50994,bus_stop
37.779023,-122.509411,bus_stop
37.71213,-122.386948,bus_stop
37.784519,-122.408404,bus_stop
37.784162,-122.408175,bus_stop
37.784011,-122.40821,bus_stop
37.737735,-122.431009,bus_stop
37.738172,-122.432807,bus_stop
37.740037,-122.435716,bus_stop
37.740001,-122.433609,bus_stop
37.740189,-122.434216,bus_stop
37.740055,-122.434433,bus_stop
37.70898,-122.39422,bus_stop
37.73361,-122.41325,bus_stop
37.71163,-122.4669,bus_stop
37.711418,-122.46717,bus_stop
37.71013,-122.46027,bus_stop
37.73253,-122.41576,bus_stop
37.71766,-122.44237,bus_stop
37.71766,-122.44237,bus_stop
37.71091,-122.46226,bus_stop
37.710359,-122.469458,bus_stop
37.73229,-122.42059,bus_stop
37.71183,-122.46507,bus_stop
37.71164,-122.46492,bus_stop
37.72974,-122.50232,bus_stop
37.80163,-122.45678,bus_stop
37.80161,-122.45673,bus_stop
37.77785,-122.49303,bus_stop
37.719886,-122.483135,bus_stop
37.717343,-122.483306,bus_stop
37.716334,-122.483351,bus_stop
37.71861,-122.483215,bus_stop
37.72076,-122.483078,bus_stop
37.71166,-122.46711,bus_stop
37.777075,-122.458645,bus_stop
37.785596,-122.459093,bus_stop
37.78556,-122.459254,bus_stop
37.783071,-122.45907,bus_stop
37.78374,-122.458956,bus_stop
37.774425,-122.458301,bus_stop
37.781429,-122.458955,bus_stop
37.781081,-122.45876,bus_stop
37.777477,-122.458519,bus_stop
37.75745,-122.39804,bus_stop
37.75597,-122.39789,bus_stop
37.71321,-122.40496,bus_stop
37.712217,-122.402603,bus_stop
37.764281,-122.445946,bus_stop
37.764298,-122.446095,bus_stop
37.762978,-122.446805,bus_stop
37.767154,-122.446278,bus_stop
37.769937,-122.446851,bus_stop
37.765298,-122.446072,bus_stop
37.765146,-122.445877,bus_stop
37.769161,-122.446851,bus_stop
37.76901,-122.446656,bus_stop
37.72465,-122.4261,bus_stop
37.72155,-122.42846,bus_stop
37.72311,-122.42729,bus_stop
37.82695,-122.377402,bus_stop
37.824165,-122.375421,bus_stop
37.824468,-122.375638,bus_stop
37.821938,-122.367796,bus_stop
37.823625,-122.36893,bus_stop
37.819939,-122.366422,bus_stop
37.822231,-122.364883,bus_stop
37.825319,-122.366955,bus_stop
37.82731,-122.368295,bus_stop
37.829265,-122.369623,bus_stop
37.72474,-122.42422,bus_stop
37.72474,-122.42437,bus_stop
37.72508,-122.42342,bus_stop
37.72744,-122.40451,bus_stop
37.72732,-122.4047,bus_stop
37.72691,-122.40648,bus_stop
37.7268,-122.40667,bus_stop
37.719728,-122.471739,bus_stop
37.74183,-122.40978,bus_stop
37.74151,-122.41067,bus_stop
37.71202,-122.40068,bus_stop
37.737725,-122.429531,bus_stop
37.734871,-122.44007,bus_stop
37.733595,-122.434011,bus_stop
37.733488,-122.43408,bus_stop
37.735005,-122.440093,bus_stop
37.733925,-122.435706,bus_stop
37.733827,-122.43597,bus_stop
37.733469,-122.42794,bus_stop
37.733487,-122.429326,bus_stop
37.733318,-122.42952,bus_stop
37.733719,-122.426702,bus_stop
37.733211,-122.431296,bus_stop
37.788465,-122.482617,bus_stop
37.792222,-122.481186,bus_stop
37.77998,-122.39458,bus_stop
37.74201,-122.4094,bus_stop
37.74286,-122.4094,bus_stop
37.74306,-122.40932,bus_stop
37.71248,-122.46926,bus_stop
37.749121,-122.444938,bus_stop
37.748077,-122.445087,bus_stop
37.71251,-122.46738,bus_stop
37.713191,-122.458921,bus_stop
37.713152,-122.459159,bus_stop
37.713178,-122.462331,bus_stop
37.713222,-122.455927,bus_stop
37.713161,-122.45618,bus_stop
37.7319,-122.39925,bus_stop
37.73184,-122.3994,bus_stop
37.7332,-122.39769,bus_stop
37.779474,-122.398068,bus_stop
37.77795,-122.39995,bus_stop
37.776157,-122.402231,bus_stop
37.77438,-122.40449,bus_stop
37.77233,-122.40708,bus_stop
37.77146,-122.40817,bus_stop
37.76967,-122.41045,bus_stop
37.76549,-122.4104,bus_stop
37.7653,-122.41054,bus_stop
37.76422,-122.41028,bus_stop
37.76402,-122.41041,bus_stop
37.76187,-122.4102,bus_stop
37.76167,-122.41004,bus_stop
37.76058,-122.41008,bus_stop
37.76038,-122.40991,bus_stop
37.75933,-122.40993,bus_stop
37.75911,-122.40966,bus_stop
37.75751,-122.4095,bus_stop
37.7574,-122.40961,bus_stop
37.75621,-122.40942,bus_stop
37.75572,-122.40949,bus_stop
37.75431,-122.40919,bus_stop
37.75415,-122.40932,bus_stop
37.75306,-122.40907,bus_stop
37.75252,-122.40919,bus_stop
37.7513,-122.40907,bus_stop
37.75111,-122.40889,bus_stop
37.74969,-122.40891,bus_stop
37.74951,-122.40873,bus_stop
37.76845,-122.41068,bus_stop
37.7681,-122.41081,bus_stop
37.76967,-122.41045,bus_stop
37.76911,-122.41091,bus_stop
37.76314,-122.41032,bus_stop
37.76294,-122.41016,bus_stop
37.72162,-122.42829,bus_stop
37.72166,-122.42857,bus_stop
37.72314,-122.43151,bus_stop
37.724717,-122.434654,bus_stop
37.72122,-122.42748,bus_stop
37.72128,-122.42776,bus_stop
37.7209,-122.42699,bus_stop
37.72238,-122.4299,bus_stop
