loc
"(37.78376, -122.41264)"
"(37.78191, -122.41225)"
"(37.78162, -122.45656)"
"(37.76731, -122.42118)"
"(37.77994, -122.4269)"
"(37.78683, -122.45944)"
"(37.78721, -122.4594)"
"(37.78549, -122.43839)"
"(37.78576, -122.43541)"
"(37.78536, -122.43943)"
"(37.74308, -122.47697)"
"(37.74298, -122.47913)"
"(37.78711, -122.41146)"
"(37.78436, -122.41091)"
"(37.74492, -122.45212)"
"(37.78271, -122.41426)"
"(37.78346, -122.40934)"
"(37.78325, -122.41097)"
"(37.8015, -122.40172)"
"(37.79775, -122.43076)"
"(37.79726, -122.43363)"
"(37.80135, -122.40142)"
"(37.76763, -122.42204)"
"(37.74636, -122.42022)"
"(37.7995, -122.401)"
"(37.78908, -122.4219)"
"(37.78629, -122.42134)"
"(37.77607, -122.4196)"
"(37.7803, -122.42046)"
"(37.77772, -122.41961)"
"(37.78088, -122.42057)"
"(37.77596, -122.41926)"
"(37.77966, -122.42039)"
"(37.76868, -122.4048)"
"(37.78767, -122.44853)"
"(37.73224, -122.40643)"
"(37.78462, -122.42316)"
"(37.72679, -122.47428)"
"(37.77713, -122.41982)"
"(37.79156, -122.43417)"
"(37.79555, -122.40364)"
"(37.79564, -122.40286)"
"(37.79535, -122.40517)"
"(37.77987, -122.43042)"
"(37.78489, -122.43111)"
"(37.73895, -122.46772)"
"(37.7379, -122.46932)"
"(37.73983, -122.46672)"
"(37.74064, -122.46588)"
"(37.78285, -122.4241)"
"(37.74674, -122.45836)"
"(37.72808, -122.39362)"
"(37.77575, -122.45287)"
"(37.7768, -122.45328)"
"(37.76293, -122.45953)"
"(37.76327, -122.45886)"
"(37.7637, -122.45742)"
"(37.76372, -122.45736)"
"(37.76406, -122.45605)"
"(37.7708, -122.42396)"
"(37.78225, -122.43593)"
"(37.77774, -122.43488)"
"(37.77774, -122.43488)"
"(37.80008, -122.4394)"
"(37.78701, -122.44051)"
"(37.78987, -122.41902)"
"(37.79038, -122.42072)"
"(37.77733, -122.41809)"
"(37.78201, -122.41904)"
"(37.78386, -122.41941)"
"(37.79797, -122.4221)"
"(37.77789, -122.41821)"
"(37.79135, -122.42092)"
"(37.78161, -122.41896)"
"(37.7811, -122.41886)"
"(37.7445, -122.45302)"
"(37.78867, -122.40502)"
"(37.78881, -122.40387)"
"(37.78838, -122.40815)"
"(37.78847, -122.40659)"
"(37.78787, -122.4113)"
"(37.78436, -122.43987)"
"(37.78512, -122.43284)"
"(37.7682, -122.40765)"
"(37.79579, -122.40984)"
"(37.79538, -122.40994)"
"(37.79348, -122.40938)"
"(37.79811, -122.41032)"
"(37.78719, -122.40826)"
"(37.78847, -122.40838)"
"(37.79947, -122.41061)"
"(37.74733, -122.41158)"
"(37.71436, -122.46633)"
"(37.78104, -122.41884)"
"(37.78758, -122.45216)"
"(37.78706, -122.45544)"
"(37.79008, -122.43257)"
"(37.72388, -122.43626)"
"(37.77566, -122.45285)"
"(37.76252, -122.461)"
"(37.73107, -122.4051)"
"(37.7309, -122.4697)"
"(37.73179, -122.46967)"
"(37.80241, -122.40294)"
"(37.80139, -122.40274)"
"(37.76926, -122.43485)"
"(37.72865, -122.50176)"
"(37.73528, -122.50406)"
"(37.73528, -122.50403)"
"(37.79016, -122.3907)"
"(37.79285, -122.39458)"
"(37.79114, -122.39243)"
"(37.78241, -122.44182)"
"(37.78244, -122.4419)"
"(37.76812, -122.45343)"
"(37.79206, -122.39184)"
"(37.79999, -122.40903)"
"(37.8006, -122.40915)"
"(37.77639, -122.4211)"
"(37.77809, -122.42051)"
"(37.7781, -122.42043)"
"(37.7781, -122.42037)"
"(37.77876, -122.41691)"
"(37.78, -122.42057)"
"(37.78001, -122.42049)"
"(37.77966, -122.42)"
"(37.78128, -122.42247)"
"(37.78252, -122.41729)"
"(37.77947, -122.41655)"
"(37.77861, -122.41635)"
"(37.78888, -122.38921)"
"(37.78336, -122.39412)"
"(37.78167, -122.39201)"
"(37.78146, -122.40061)"
"(37.78106, -122.40011)"
"(37.77997, -122.40287)"
"(37.77804, -122.39363)"
"(37.78509, -122.39826)"
"(37.78697, -122.39836)"
"(37.78781, -122.39968)"
"(37.79004, -122.3992)"
"(37.78923, -122.39722)"
"(37.78971, -122.39417)"
"(37.7933, -122.39295)"
"(37.79466, -122.39793)"
"(37.7963, -122.39668)"
"(37.79415, -122.40465)"
"(37.79101, -122.40079)"
"(37.78499, -122.42916)"
"(37.7856, -122.43008)"
"(37.78611, -122.43348)"
"(37.78759, -122.43351)"
"(37.78988, -122.43244)"
"(37.7911, -122.43251)"
"(37.79096, -122.43272)"
"(37.80632, -122.42355)"
"(37.8064, -122.422)"
"(37.80555, -122.42212)"
"(37.8071, -122.41746)"
"(37.76581, -122.42186)"
"(37.76494, -122.41876)"
"(37.76348, -122.41976)"
"(37.7586, -122.41883)"
"(37.75749, -122.41903)"
"(37.75743, -122.41903)"
"(37.75532, -122.4197)"
"(37.75542, -122.42002)"
"(37.7554, -122.41844)"
"(37.754, -122.41663)"
"(37.7923, -122.3914)"
"(37.78928, -122.38852)"
"(37.78692, -122.38809)"
"(37.78629, -122.38942)"
"(37.78455, -122.38828)"
"(37.78327, -122.38927)"
"(37.78306, -122.3893)"
"(37.77609, -122.3876)"
"(37.77609, -122.38767)"
"(37.77583, -122.38752)"
"(37.77576, -122.38752)"
"(37.77583, -122.38745)"
"(37.77583, -122.38759)"
"(37.77575, -122.38759)"
"(37.77576, -122.38745)"
"(37.79709, -122.39544)"
"(37.79738, -122.39569)"
"(37.79743, -122.39573)"
"(37.80057, -122.40006)"
"(37.80078, -122.39948)"
"(37.80067, -122.39917)"
"(37.80288, -122.40114)"
"(37.80416, -122.40291)"
"(37.80419, -122.40267)"
"(37.80555, -122.40611)"
"(37.80546, -122.40678)"
"(37.80725, -122.4088)"
"(37.8075, -122.42093)"
"(37.8075, -122.42087)"
"(37.77874, -122.41815)"
"(37.77842, -122.418)"
"(37.77591, -122.42258)"
"(37.79817, -122.42747)"
"(37.78328, -122.46115)"
"(37.77061, -122.47982)"
"(37.77064, -122.47973)"
"(37.77067, -122.47961)"
"(37.77047, -122.47973)"
"(37.7705, -122.47962)"
"(37.77053, -122.47953)"
"(37.7707, -122.47703)"
"(37.76917, -122.47753)"
"(37.7687, -122.47268)"
"(37.76885, -122.47256)"
"(37.77095, -122.47488)"
"(37.77149, -122.47742)"
"(37.77307, -122.4715)"
"(37.77308, -122.47132)"
"(37.77322, -122.46821)"
"(37.77331, -122.46614)"
"(37.77332, -122.466)"
"(37.77353, -122.46378)"
"(37.77356, -122.46355)"
"(37.7714, -122.45918)"
"(37.77179, -122.46168)"
"(37.76839, -122.45884)"
"(37.76846, -122.45866)"
"(37.76854, -122.45865)"
"(37.76909, -122.46546)"
"(37.76905, -122.46551)"
"(37.76901, -122.46557)"
"(37.76681, -122.45789)"
"(37.76695, -122.46657)"
"(37.7668, -122.46655)"
"(37.76908, -122.46865)"
"(37.76914, -122.4686)"
"(37.7692, -122.46858)"
"(37.76922, -122.46856)"
"(37.76911, -122.4688)"
"(37.7693, -122.46992)"
"(37.7693, -122.47005)"
"(37.76929, -122.4702)"
"(37.76929, -122.47033)"
"(37.76917, -122.47021)"
"(37.77244, -122.46816)"
"(37.77255, -122.46844)"
"(37.77257, -122.46828)"
"(37.77259, -122.46814)"
"(37.77259, -122.46799)"
"(37.77254, -122.46854)"
"(37.77267, -122.46659)"
"(37.7727, -122.46596)"
"(37.77269, -122.46628)"
"(37.7727, -122.46612)"
"(37.7727, -122.46604)"
"(37.77269, -122.46621)"
"(37.77267, -122.4665)"
"(37.77268, -122.46643)"
"(37.77268, -122.46636)"
"(37.77237, -122.45949)"
"(37.76727, -122.50782)"
"(37.77099, -122.50306)"
"(37.77072, -122.50768)"
"(37.76922, -122.51005)"
"(37.76912, -122.51004)"
"(37.76902, -122.51003)"
"(37.77013, -122.50956)"
